Method,Train_Percentage,learning_Rate,Cross_Validation_Fold,Accuracy,Bias,Variance,Skewness,Kurtosis,Entropy
Logistic Regression,60.0,10,Set - 0,0.9878787878787879,106.2585852666648,-75.60946700346265,-80.90117049191096,-87.70662396188374,-1.268557248718449
Logistic Regression,60.0,10,Set - 1,0.9575757575757575,44.54197173964068,-33.29810478112502,-34.66917461132296,-36.47415803734536,1.571906333290648
Logistic Regression,60.0,10,Set - 2,0.9757575757575757,77.55476544021313,-54.885771254715976,-60.34193508313325,-62.138801940508,-2.143927552222354
Logistic Regression,60.0,10,Set - 3,0.9939024390243902,121.9551202141413,-84.73478590976578,-91.15671143505251,-98.9007162726432,-3.972804367041271
Logistic Regression,60.0,10,Set - 4,0.9390243902439024,108.07577120158382,-73.57835062111732,-83.50630198398025,-87.1209128152141,-4.4390756984010595
